Id,SalePrice
1461,124904.7949
1462,160893.3174
1463,173084.9086
1464,191353.6649
1465,184982.8253
1466,183316.0275
1467,153976.0155
1468,180254.7523
1469,194635.1571
1470,99970.08157
1471,184369.3923
1472,98472.46842
1473,108546.7945
1474,179365.3577
1475,143188.7057
1476,379809.4843
1477,243152.9601
1478,252330.7096
1479,396985.2575
1480,407601.9192
1481,381714.4618
1482,239660.8196
1483,158904.1566
1484,180566.1905
1485,189921.3782
1486,193606.0907
1487,401038.1707
1488,238942.9174
1489,178973.8832
1490,190471.1796
1491,191072.8043
1492,119334.9394
1493,200187.4275
1494,272768.6976
1495,373941.4698
1496,196845.624
1497,178125.5016
1498,159589.437
1499,165412.0713
1500,106342.8036
1501,181348.9284
1502,160821.0153
1503,300598.3267
1504,252353.2532
1505,211190.0841
1506,185132.2527
1507,229560.9106
1508,204933.1437
1509,174081.0203
1510,159789.5924
1511,157379.3765
1512,158399.1551
1513,182920.7525
1514,179756.6931
1515,177314.5644
1516,204478.5523
1517,162489.6041
1518,130869.8286
1519,207787.2643
1520,154259.2446
1521,159747.6922
1522,191618.1891
1523,94224.64684
1524,130323.1143
1525,139117.187
1526,140310.143
1527,91944.83851
1528,124660.7553
1529,151920.4555
1530,192192.7528
1531,116923.6686
1532,118050.6222
1533,164150.1051
1534,118013.0558
1535,173747.6962
1536,126176.8327
1537,92757.61807
1538,187865.7208
1539,263258.9804
1540,130716.5288
1541,182572.6498
1542,147710.7055
1543,228451.4936
1544,84607.45005
1545,101470.9158
1546,124377.7714
1547,155626.3135
1548,150423.8988
1549,113003.1804
1550,148423.7566
1551,129364.0437
1552,155912.1665
1553,131424.402
1554,97402.97779
1555,191297.3506
1556,124276.0888
1557,162617.3366
1558,100191.084
1559,123513.345
1560,152499.1484
1561,154907.0915
1562,125260.9314
1563,126989.3896
1564,159418.2692
1565,145736.1879
1566,211941.1181
1567,92427.93533
1568,224350.32
1569,180496.5941
1570,128405.2244
1571,145992.7482
1572,158193.8069
1573,254966.746
1574,159809.7906
1575,194107.9594
1576,203960.384
1577,180316.0898
1578,182898.2063
1579,135739.6106
1580,188192.9353
1581,135509.1579
1582,126989.3896
1583,369814.0096
1584,245026.5165
1585,119026.6544
1586,90204.41099
1587,118282.3616
1588,156066.82
1589,105561.1821
1590,154527.9368
1591,117857.2849
1592,150485.5069
1593,121390.1076
1594,144134.2998
1595,133682.9787
1596,226238.2316
1597,175983.5137
1598,202887.8209
1599,177351.6533
1600,179778.6969
1601,78201.93361
1602,119595.3096
1603,92119.08959
1604,267574.9284
1605,246467.8217
1606,161150.9848
1607,151171.6576
1608,198224.6031
1609,181041.4784
1610,147299.25
1611,157816.0239
1612,149917.939
1613,158637.5667
1614,129084.5557
1615,75609.13704
1616,70400.89156
1617,82538.76504
1618,124367.3714
1619,128723.6754
1620,161011.2073
1621,122196.4823
1622,154014.3369
1623,282245.8018
1624,209897.3889
1625,131415.4185
1626,192192.7528
1627,192680.6087
1628,283210.9735
1629,155943.4871
1630,269490.4336
1631,249965.4402
1632,256975.77
1633,146277.8191
1634,192909.0989
1635,183254.807
1636,148496.0717
1637,167530.9832
1638,220346.6676
1639,199224.9641
1640,274969.1931
1641,203738.8544
1642,223408.9436
1643,242849.9774
1644,245318.0131
1645,164279.6976
1646,160957.3481
1647,188326.4746
1648,146840.5618
1649,134857.8814
1650,101092.8804
1651,100203.799
1652,100811.2575
1653,99415.94252
1654,177742.6457
1655,184650.2657
1656,184481.7947
1657,177742.6457
1658,184481.7947
1659,150372.7764
1660,132620.4321
1661,522674.1175
1662,304425.9173
1663,410272.7379
1664,423953.7356
1665,250705.8619
1666,356474.1681
1667,389389.2608
1668,269258.3451
1669,276802.2608
1670,408700.9156
1671,235678.07
1672,420880.8673
1673,271827.9163
1674,238942.9174
1675,161781.0895
1676,160712.2081
1677,194635.1571
1678,420880.8673
1679,397212.9756
1680,284399.7086
1681,236021.0264
1682,340311.0411
1683,174792.6523
1684,148515.4539
1685,178719.9903
1686,154495.4593
1687,175202.2225
1688,191005.5787
1689,189733.9128
1690,193289.9307
1691,159115.5345
1692,257103.8842
1693,177405.1295
1694,188537.2786
1695,174901.1655
1696,337613.8997
1697,174901.1655
1698,408498.1946
1699,375270.4754
1700,253753.5286
1701,288059.9969
1702,249400.3065
1703,229293.4573
1704,339655.9453
1705,237395.0794
1706,408283.7519
1707,176479.2419
1708,176375.7944
1709,245592.5834
1710,237593.2244
1711,246467.8217
1712,267803.1049
1713,218802.8941
1714,217971.5989
1715,197368.582
1716,178973.8832
1717,188206.3193
1718,142709.8771
1719,181894.4966
1720,278944.7603
1721,187322.5169
1722,147281.5407
1723,159262.1021
1724,176479.2419
1725,269010.0984
1726,189378.2457
1727,155596.5118
1728,183687.0275
1729,177898.891
1730,178041.3739
1731,136099.6869
1732,128112.1884
1733,128951.8063
1734,135507.7417
1735,134574.6524
1736,126052.1846
1737,416528.3888
1738,210456.5341
1739,252795.372
1740,172525.2938
1741,151018.3447
1742,177053.4051
1743,162403.7798
1744,341325.4257
1745,217075.7483
1746,261080.4072
1747,241677.5001
1748,229855.3636
1749,165541.4259
1750,158477.036
1751,269673.1665
1752,124650.6005
1753,146055.424
1754,214844.8582
1755,178770.5009
1756,99919.05613
1757,123725.0196
1758,165288.9459
1759,172198.8225
1760,165904.6501
1761,162915.2103
1762,161511.4177
1763,203430.6697
1764,134787.1304
1765,190281.3194
1766,200022.9929
1767,221621.7771
1768,158477.036
1769,201622.5656
1770,137563.3018
1771,156138.2469
1772,153492.6748
1773,159220.05
1774,124800.5721
1775,134857.8814
1776,124753.857
1777,123740.1391
1778,132180.123
1779,127462.2697
1780,195144.6306
1781,152818.1366
1782,81636.65844
1783,125594.0244
1784,89885.2762
1785,150508.3607
1786,160845.5133
1787,176076.3175
1788,68011.11666
1789,121916.7101
1790,89486.76113
1791,199616.5209
1792,155391.8209
1793,143319.3873
1794,134574.6524
1795,156138.2469
1796,117700.1933
1797,129525.2589
1798,121613.6209
1799,121638.2078
1800,128674.6344
1801,132208.1116
1802,185916.9388
1803,178926.5225
1804,140281.8862
1805,136025.6371
1806,125684.7878
1807,188576.7685
1808,129417.1555
1809,129203.268
1810,142383.0073
1811,121363.947
1812,131083.4631
1813,116266.3674
1814,82715.56733
1815,69760.29992
1816,112406.4985
1817,150370.9457
1818,115925.713
1819,116500.5633
1820,72500.81876
1821,122258.5642
1822,177037.0163
1823,84579.99496
1824,119797.6312
1825,111028.5024
1826,109014.1091
1827,121682.668
1828,146679.2663
1829,164575.242
1830,169829.4492
1831,214320.3254
1832,123818.6233
1833,142891.0317
1834,118389.2945
1835,164302.6279
1836,121963.2601
1837,82919.04688
1838,150298.8029
1839,76233.99028
1840,160017.6624
1841,157281.7359
1842,115839.2833
1843,138137.2276
1844,122371.453
1845,140153.5879
1846,174380.0598
